"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"A&O SCI 1 - BIANCHI, D.",0.223,0.33,0.149,0.128,0.053,0.021,0.074,0.011,0.011,NA,NA,NA,NA
"A&O SCI 101 - KOK, J.F.",0.065,0.129,0.194,0.129,0.161,0.065,0.097,0.032,0.097,NA,0.032,NA,NA
"A&O SCI 103 - STEWART, A.L.",0.102,0.184,0.163,0.184,0.122,0.082,0.122,NA,0.041,NA,NA,NA,NA
"A&O SCI 1L - BIANCHI, D.",0.667,0.111,0.056,0.056,0.056,NA,NA,NA,0.056,NA,NA,NA,NA
"A&O SCI 2 - LEW, J.K.",NA,0.109,0.04,0.059,0.396,0.059,0.05,0.178,0.02,0.01,0.02,NA,0.059
"A&O SCI 200A - CHAMECKI, M.",0.105,0.421,0.053,0.211,0.053,0.158,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 200B - CHEN, G.",NA,0.375,0.312,0.188,0.125,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 270 - SAIDE PERALTA, P.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2L - LEW, J.K.",NA,0.167,NA,0.111,0.389,0.056,NA,0.222,0.056,NA,NA,NA,NA
"A&O SCI 3 - LEW, J.K.",NA,0.222,NA,0.074,0.333,0.074,0.074,0.111,NA,NA,0.074,NA,0.037
"A&O SCI C160 - LIOU, K.",0.273,0.364,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI M203A - LI, Q.",0.235,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 140A - PLASCENCIA, K.",0.462,0.231,0.231,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"AERO ST 1A - LISCOMBE, J.R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 1A - LISCOMBE, J.R. LEC 2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 20A - LISCOMBE, J.R.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 1 - HUNTER, M.",0.277,0.424,0.068,0.051,0.062,0.051,0.023,0.011,0.011,0.011,0.011,NA,NA
"AF AMER 105B - HUDSON, P.J.",0.273,0.212,0.182,0.121,0.03,0.061,0.121,NA,NA,NA,NA,NA,NA
"AF AMER 188A - BONNER, L.D.",0.189,0.405,0.216,0.108,0.027,NA,NA,NA,0.027,NA,NA,0.027,NA
"AF AMER 188A - DUE, T.P.",0.578,0.172,0.125,0.094,0.031,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - EDU, U.F.",0.613,0.161,0.129,NA,0.032,NA,NA,0.065,NA,NA,NA,NA,NA
"AF AMER 188A - LYTLE HERNANDEZ, K",0.444,0.444,NA,0.056,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - EDU, U.F.",0.857,0.071,NA,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA
"AF AMER C291 - BROWN, S.D.",0.364,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER C291 - LACAYO, C.O.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M104A - YARBOROUGH, R.A.",NA,0.13,0.261,0.174,0.087,0.087,NA,0.174,0.043,NA,0.043,NA,NA
"AF AMER M120 - ALLEN, W.R.",0.097,0.29,0.226,0.194,0.161,0.032,NA,NA,NA,NA,NA,NA,NA
"AF AMER M200B - HUDSON, P.J.",NA,0.875,0.062,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M5 - HUNTER, M.",0.372,0.393,0.167,0.026,0.021,NA,0.013,0.004,0.004,NA,NA,NA,NA
"AM IND 202 - MITHLO, N.M.",0.083,0.667,0.083,0.083,NA,NA,0.083,NA,NA,NA,NA,NA,NA
"AM IND M10 - ERNEST, M.A.",0.225,0.713,0.006,0.019,0.013,0.006,0.006,0.006,NA,NA,NA,NA,0.006
"AN N EA 10W - SMOAK, J.D.",NA,0.295,0.295,0.179,0.158,0.011,0.011,0.042,NA,NA,NA,NA,0.011
"AN N EA 15W - COONEY, K.M.",0.159,0.392,0.18,0.074,0.106,0.032,0.011,0.021,NA,NA,NA,NA,0.026
"AN N EA 15W - COONEY, K.M. LEC 3",0.057,0.6,0.2,0.029,0.029,0.057,0.029,NA,NA,NA,NA,NA,NA
"AN N EA C177 - WINNERMAN, J.P.",0.111,0.222,0.333,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M50A - BURKE, A.A.",0.355,0.177,0.129,0.065,0.097,0.065,0.032,NA,0.032,NA,0.032,NA,0.016
"AN N EA M60 - SHAYEGAN, M.R.",0.179,0.321,0.143,NA,0.107,0.071,NA,NA,0.071,NA,0.036,0.036,0.036
"ANTHRO 110 - GUPTA-AGARWAL, S.",0.065,0.261,0.196,0.174,0.13,0.065,0.022,NA,NA,NA,NA,NA,0.087
"ANTHRO 116S - ACABADO, S.B.",0.667,0.267,0.022,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 119 - LI, M.",0.028,0.889,0.028,0.028,0.028,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 124S - SNYDER, J.K.",0.104,0.122,0.13,0.122,0.174,0.104,0.009,0.087,0.026,0.009,0.035,NA,0.078
"ANTHRO 124T - MANSON, J.H.",0.019,0.278,0.074,0.093,0.13,0.093,0.093,0.074,0.093,NA,0.019,NA,0.037
"ANTHRO 129 - BIGHAM, A.W.",0.293,0.341,0.073,0.146,NA,0.073,0.024,0.049,NA,NA,NA,NA,NA
"ANTHRO 130 - BOUM, A.",0.138,0.609,0.19,0.023,0.006,0.006,NA,NA,NA,0.011,NA,0.006,0.011
"ANTHRO 138P - FISKE, A.P.",0.027,0.721,0.108,0.045,0.054,0.018,0.009,NA,NA,NA,NA,0.009,0.009
"ANTHRO 139 - ANTOINE, K.E.",0.224,0.429,0.122,0.102,0.041,0.02,0.041,NA,NA,0.02,NA,NA,NA
"ANTHRO 139 - GARRO, L.C.",0.036,0.127,0.073,0.091,0.164,0.036,0.091,0.164,0.055,NA,0.091,NA,0.073
"ANTHRO 139 - SPEED, S.E.",0.174,0.42,0.217,0.072,0.043,0.014,NA,0.014,NA,0.014,NA,NA,0.029
"ANTHRO 141 - LOYD, H.M.",0.271,0.61,0.051,0.017,0.017,0.034,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 151 - MITSUHARA, T.",0.136,0.318,0.409,0.023,0.114,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 154P - EDMONDS, R.B.",0.047,0.256,0.256,0.14,0.093,0.047,0.047,0.023,0.023,NA,NA,0.047,0.023
"ANTHRO 159 - DEBENPORT, E.K.",0.25,0.65,NA,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 169 - BRANTINGHAM, P.J.",0.051,0.077,0.154,0.179,0.167,0.12,0.124,0.047,0.026,0.03,0.009,NA,0.017
"ANTHRO 191HC - MIYAKE, L.R.",NA,0.538,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 197 - ACABADO, S.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 2 - SMITH, M.L.",0.211,0.218,0.121,0.142,0.093,0.08,0.031,0.024,0.038,0.007,0.014,0.007,0.014
"ANTHRO 200 - BARRETT, H.C.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 202A - WOOD, B.M.",0.083,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 203A - LEVINE, N.",NA,0.882,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 204A - DEBENPORT, E.K.",0.167,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 253 - KROSKRITY, P.V.",0.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - YAN, Y.",0.02,0.197,0.224,0.259,0.133,0.065,0.061,0.027,0.01,NA,NA,NA,0.003
"ANTHRO 4 - MENDOZA-DENTON, N",0.505,0.292,0.138,0.03,0.016,0.003,0.01,NA,NA,NA,0.003,NA,0.003
"ANTHRO C117 - WAKE, T.A.",NA,0.615,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M166Q - BOUM, A.",0.081,0.324,0.405,0.135,0.027,0.027,NA,NA,NA,NA,NA,NA,NA
"ANTHRO M67W - YARBROUGH, L.B.",0.102,0.347,0.102,0.082,0.143,0.061,0.061,NA,0.041,NA,NA,0.02,0.041
"ARABIC 102A - HAMZA, A.T.",0.4,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 102A - HAMZA, A.T. LEC 2",0.312,0.375,0.062,NA,0.125,NA,0.125,NA,NA,NA,NA,NA,NA
"ARABIC 103A - HAMZA, A.T.",0.25,0.333,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083
"ARABIC 1A - AHMAD, A.M.",0.462,0.385,NA,0.077,0.077,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1A - AHMAD, A.M. LEC 2",0.261,0.435,0.087,0.043,0.087,NA,0.043,NA,NA,NA,0.043,NA,NA
"ARABIC 1A - AHMAD, A.M. LEC 4",0.591,0.227,0.045,NA,0.091,NA,0.045,NA,NA,NA,NA,NA,NA
"ARABIC M171 - BOUM, A.",0.143,0.429,0.214,0.071,0.071,0.071,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 122 - BARKAN, K.R.",NA,0.368,0.368,0.158,0.105,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 131 - OSMAN, M.",NA,0.105,0.368,0.316,0.105,0.105,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 141 - JIMENEZ INIESTA, D",0.148,0.333,0.111,0.296,0.111,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 220 - KOERNER, J.",0.053,0.921,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - AMUNATEGUI, J.C.",NA,0.585,0.208,0.094,0.094,NA,NA,NA,NA,NA,NA,NA,0.019
"ARCH&UD 289 - BILSEL, C.",0.053,0.632,0.105,0.158,0.053,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CONWAY, M.J.",NA,0.25,0.333,0.25,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D.",NA,0.652,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - CUFF, D. LEC 10",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - ENNEMOSER, B.",NA,0.312,0.5,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - FRANKEL, R.E.",0.278,0.5,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SHAFFER, G.",NA,0.211,0.421,0.263,0.105,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - SU, N.",NA,0.4,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 290 - OSMAN, M.",NA,0.364,0.273,0.182,0.091,0.091,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 30 - OSMAN, M.",0.012,0.239,0.337,0.092,0.166,0.092,0.031,0.018,0.012,NA,NA,NA,NA
"ARCH&UD 401 - ENNEMOSER, B.",NA,0.267,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - HULJICH, G.",NA,0.3,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - INABA, J.N.",NA,NA,0.5,0.389,0.111,NA,NA,NA,NA,NA,NA,NA,NA
